ID	audio	tgt_text
1	1003119935936341070.wav	Allerdings konnten aufgrund der langsamen Kommunikationswege die Stile im Westen um 25 bis 30 Jahre hinterherhinken.
2	10052240106321793346.wav	Alle Substantive, neben dem Wort Sie für Sie, beginnen immer mit einem Großbuchstaben, auch mitten in einem Satz.
3	10167324587744183095.wav	Im Norden und in unmittelbarer Nähe liegt die romantische und faszinierende Stadt Sintra, die Ausländern durch einen begeisterten Bericht über ihre Pracht von Lord Byron bekannt gemacht wurde.
4	10197164397713068203.wav	Der Kohlsaft verändert je nachdem, wie sauer oder basisch (alkalisch) die chemische Substanz ist, die Farbe.
5	10233995782544396174.wav	Viele Leute denken nicht an sie als Dinosaurier, weil sie Federn haben und fliegen können.
6	10235738076911595987.wav	Das Krankenhaus hat das Protokoll zur Infektionskontrolle befolgt, einschließlich der Trennung des Patienten von anderen, um eine mögliche Ansteckung anderer zu verhindern.
7	10323357556845456822.wav	Das Büro für Notfallmanagement der Nördlichen Marianen gab bekannt, dass keine Schäden im Land gemeldet wurden.
8	10335587906469246566.wav	Forschung im 20. Jahrhundert hat gezeigt, dass es zwei Pools genetischer Variationen gibt: verborgene und ausgedrückte.
9	10344335557154974057.wav	Das Seitenverhältnis dieses Formats (durch zwölf dividiert, um das einfachste Ganzzahlverhältnis zu erhalten) wird daher als 3:2 bezeichnet.
10	1036771894648013441.wav	Da Lichtverschmutzung zu ihrer Hochzeit nicht das Problem war, das sie heute ist, sind sie normalerweise in Städten oder auf dem Campus zu finden, einfacher zu erreichen als die in moderner Zeit errichteten.
11	1038214857203833067.wav	Durch die Nacht wurden zwischen 150 und 200 Kopien hergestellt, die nun als Dunlap-Breitseiten bekannt sind.
12	10383288285905292158.wav	Zum Beispiel gestalten Schüler der Bennet School in North Carolina jedes Jahr eine Website über ihren Ausflug zum Staatskapital. Die Website wird jedes Jahr umgestaltet, aber alte Versionen werden online aufbewahrt, um als Scrapbook zu dienen.
13	10405958125670257178.wav	Löwenrudel verhalten sich ähnlich wie Wolfs- oder Hundenrudel, Tiere, die überraschenderweise Löwen (aber keine anderen Großkatzen) im Verhalten ähneln und sehr tödlich für ihre Beute sind.
14	10411016628242228511.wav	Die Stadt ist auch der Ausgangspunkt für den Aufstieg auf den Nyiragongo-Vulkan sowie für einige der günstigsten Berggorilla-Tracking-Möglichkeiten in Afrika.
15	1042003289011443756.wav	Das Internet vereint Elemente der Massen- und der Interpersonellen Kommunikation.
16	1043394666292127188.wav	Diese Theorien untersuchen, was es an bestimmten Menschen ist, das sie die Dinge wollen lässt, die sie wollen, und welche Dinge in ihrer Umgebung sie dazu bringen werden, bestimmte Dinge zu tun oder nicht zu tun.
17	1045619486290403122.wav	Zum Beispiel ist das gängigste Fotoformat der Welt das 35mm-Format, das zum Ende des Analogfilm-Zeitalters dominierend war.
18	1046653381869710616.wav	Der Begriff Safari wird im Volksmund für Reisen über Land verwendet, um die atemberaubende afrikanische Tierwelt zu betrachten, insbesondere in der Savanne.
19	10471564175308895403.wav	Aber es gibt viele Dinge über Vögel, die immer noch wie Dinosaurier aussehen.
20	10481451226514948764.wav	Frauen: Es wird empfohlen, dass alle weiblichen Reisenden angeben, verheiratet zu sein, unabhängig vom tatsächlichen Familienstand.
21	10492135991603561867.wav	In einigen Gebieten reicht es aus, Wasser eine Minute lang zu kochen, während es in anderen mehrere Minuten benötigt.
22	10492761258488775721.wav	Jeder, der in hohen Breiten fahren oder über Gebirgspässe fahren möchte, sollte die Möglichkeit von Schnee, Eis oder frostigen Temperaturen in Betracht ziehen.
23	10536763405165824117.wav	Als Ergebnis sind zwei Fischarten ausgestorben, und zwei andere sind gefährdet, darunter der Schwellenkarpfen.
24	1054805305879816018.wav	Es wurde von den Vichy-Franzosen regiert. Das waren Franzosen, die im Jahr 1940 mit den Deutschen Frieden geschlossen hatten und stattdessen mit den Invasoren zusammengearbeitet hatten, anstatt gegen sie zu kämpfen.
25	10550734868852131138.wav	Am 15. August 1940 überfielen die Alliierten Südfrankreich, die Invasion wurde Operation Dragoon genannt.
26	10614481583312370701.wav	Legierungen sind im Grunde eine Mischung aus zwei oder mehr Metallen. Vergiss nicht, dass es viele Elemente im Periodensystem gibt.
27	10622204403793540766.wav	Zum Beispiel erstellen die Schüler der Bennet School in North Carolina jedes Jahr eine Website über ihren Ausflug in die Hauptstadt des Bundesstaates; jedes Jahr wird die Website umgebaut, aber alte Versionen bleiben online, um als Scapbook zu dienen.
28	10731896540541531669.wav	Seine Arbeit ist von einer so anerkannten Qualität und Detailtreue, dass er einer der sehr wenigen bekannten Namen unter Philatelisten ist. Einige spezialisieren sich darauf, nur seine Arbeit zu sammeln.
29	10751756685109361684.wav	Danielle Lantagne, eine UN-Expertin für die Krankheit, erklärte, dass der Ausbruch wahrscheinlich von den Friedenstruppen verursacht wurde.
30	10768814098664478369.wav	Die anderen Nominierungen umfassen Bester Film, Regie, Kameraführung, Kostümdesign, Filmschnitt, Originalmusik, Szenenbild, Tonschnitt, Tonmischung und Originaldrehbuch.
31	10849792007407044602.wav	Virtuelle Teams werden an denselben Qualitätsstandards gemessen wie konventionelle Teams, aber es gibt subtile Unterschiede.
32	10861831846737909528.wav	Im Norden wird die Region vom Sahel begrenzt und im Süden und Westen vom Atlantik.
33	10894616243452123700.wav	Ein gut gerundeter Athlet, der Tiger kann klettern (obwohl nicht gut), schwimmen, große Entfernungen springen und mit der fünffachen Kraft eines starken Menschen ziehen.
34	10899527843662463911.wav	Er wurde anschließend ins Addenbrooke's Hospital in Cambridge verlegt.
35	10903101168349732260.wav	Die Ton- und Lichtshow an der Pyramide ist eine der interessantesten Dinge in der Gegend für Kinder.
36	10933070083389897676.wav	Aufgrund der Unterwasser-Topologie konzentriert sich der Rückstrom an einigen tieferen Stellen, und es kann eine schnelle Strömung zu tiefem Wasser entstehen.
