id,raw_transcription,path,lang
1904,"However, due to the slow communication channels, styles in the west could lag behind by 25 to 30 year.",1003119935936341070.wav,en
1675,"All nouns, alongside the word Sie for you, always begin with a capital letter, even in the middle of a sentence.",10052240106321793346.wav,en
1950,To the north and within easy reach is the romantic and fascinating town of Sintra and which was made famous to foreigners after a glowing account of its splendours recorded by Lord Byron.,10167324587744183095.wav,en
1728,The cabbage juice changes color depending on how acidic or basic (alkaline) the chemical is.,10197164397713068203.wav,en
1972,Many people don't think about them as dinosaurs because they have feathers and can fly.,10233995782544396174.wav,en
1938,"The hospital has followed protocol for infection control, including separating the patient from others to prevent possible infection of others.",10235738076911595987.wav,en
1876,The Northern Marianas emergency management office said that there were no damages reported in the nation.,10323357556845456822.wav,en
1914,Twentieth century research has shown that there are two pools of genetic variation: hidden and expressed.,10335587906469246566.wav,en
1846,The aspect ratio of this format (dividing by twelve to obtain the simplest whole-number ratio) is therefore said to be 3:2.,10344335557154974057.wav,en
1806,"As light pollution in their heyday was not the kind of problem it is today, they are usually located in cities or at campuses, easier to reach than those built in modern times.",1036771894648013441.wav,en
1776,"Through the night between 150 and 200 copies were made, now known as ""Dunlap broadsides"".",1038214857203833067.wav,en
1729,"For example, each year students from Bennet School in North Carolina design a website about their trip to the State Capital, each year the website gets remodeled, but old versions are kept online to serve as a scrapbook.",10383288285905292158.wav,en
1855,"Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.",10405958125670257178.wav,en
1919,The city is also the base to climb the Nyiragongo volcano along with some of the cheapest Mountain Gorilla tracking in Africa.,10411016628242228511.wav,en
1802,The Internet combines elements of both mass and interpersonal communication.,1042003289011443756.wav,en
1711,These theories look at what it is about certain people that make them want the things that they do and what things in their environment will make them do or not do certain things.,1043394666292127188.wav,en
1685,"For example, the most common still image photography format in the world is 35mm, which was the dominant film size at the close of the analog film era.",1045619486290403122.wav,en
1992,"The term safari in popular use refers to overland travel to view the stunning African wildlife, particularly on savanna.",1046653381869710616.wav,en
2005,But there are a lot of things about birds that still look like a dinosaur.,10471564175308895403.wav,en
1982,"Women: It is recommended that any women travellers say that they are married, regardless of actual marital status.",10481451226514948764.wav,en
1674,"In some areas boiling water for a minute is enough, in others several minutes are needed.",10492135991603561867.wav,en
1952,"Anyone who's going to drive at high latitudes or over mountain passes should consider the possibility of snow, ice, or freezing temperatures.",10492761258488775721.wav,en
1752,"As a result, two fish species have become extinct, and two others have become endangered, including the humpback chub.",10536763405165824117.wav,en
1749,"It was ruled by the ""Vichy"" French. These were French people who had made peace with the Germans in 1940 and worked with the invaders instead of fighting them.",1054805305879816018.wav,en
1705,"On 15 August 1940, the Allies invaded southern France, the invasion was called ""Operation Dragoon"".",10550734868852131138.wav,en
1662,Alloys are basically a mixture of two or more metals. Don't forget that there are many elements on the periodic table.,10614481583312370701.wav,en
1729,"For example, each year students from Bennet School in North Carolina design a website about their trip to the State Capital, each year the website gets remodeled, but old versions are kept online to serve as a scrapbook.",10622204403793540766.wav,en
1790,"His work is of such recognized quality and detail that he is one of the very few ""household names"" among philatelists. Some specialize in collecting his work alone.",10731896540541531669.wav,en
1858,"Danielle Lantagne, a UN expert on the disease, stated the outbreak was likely caused by the peacekeepers.",10751756685109361684.wav,en
1789,"The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay.",10768814098664478369.wav,en
1909,"Virtual teams are held to the same standards of excellence as conventional teams, but there are subtle differences.",10849792007407044602.wav,en
1897,"In the north the region is bounded by the Sahel, and in the south and west by the Atlantic Ocean.",10861831846737909528.wav,en
1680,"A well rounded athlete, the tiger can climb (though not well), swim, leap great distances and pull with five times the force of a strong human.",10894616243452123700.wav,en
1953,He was subsequently relocated to Addenbrooke's Hospital in Cambridge.,10899527843662463911.wav,en
1740,The pyramid sound and light show is one of the most interesting things in the area for kids.,10903101168349732260.wav,en
1717,"Due to the underwater topology the return flow is concentrated at a few deeper sections, and a fast current to deep water may form there.",10933070083389897676.wav,en
1987,"The crash occurred high up in mountainous terrain, and is believed to have been the result of hostile fire.",10937407360976471523.wav,en
1990,"Blogs can also help improve student writing. While students often begin their blog experience with sloppy grammar and spelling, the presence of an audience generally changes that.",10938576782105608041.wav,en
1908,This is an important way to distinguish between some verbs and objects.,10969774925516121312.wav,en
1752,"As a result, two fish species have become extinct, and two others have become endangered, including the humpback chub.",11060294228176938598.wav,en
2005,But there are a lot of things about birds that still look like a dinosaur.,1107772981946748169.wav,en
1678,"Oliver Sacks, in his paper The President's Speech, indicated how people who are unable to understand speech because of brain damage are nevertheless able to assess sincerity accurately.",1111475259790805601.wav,en
1701,"Goats seem to have been first domesticated roughly 10,000 years ago in the Zagros Mountains of Iran.",11147918080606585533.wav,en
2001,Travellers are strongly advised to be aware of any risk of severe weather affecting their area as they may affect any travel plans.,1116140877447157610.wav,en
1991,"During this period of European history, the Catholic Church, which had become rich and powerful, came under scrutiny.",1116401173651214130.wav,en
1895,"As knowledge of Greek declined, the West found itself cut off from its Greek philosophical and scientific roots.",11200231708585274851.wav,en
1710,"Last week, METI announced that Apple had informed it of 34 additional overheating incidents, which the company called ""non-serious.""",11260391063812418810.wav,en
1975,Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,11265842188315045636.wav,en
1864,"Mrs. Kirchner announced her intention to run for president at the Argentine Theatre, the same location she used to start her 2005 campaign for the Senate as member of the Buenos Aires province delegation.",11318597463051480163.wav,en
1720,The hot chocolate is up to Belgian standards. Fruit juices are pricey but excellent.,11374239868879585530.wav,en
1723,"The harbor was the site of an infamous naval standoff in 1889 when seven ships from Germany, the US, and Britain refused to leave the harbor.",11426556553252626005.wav,en
1769,"Built by the Egyptians in the third century BCE, the Great Pyramid is one of many large pyramid structures built to honor dead Pharaoh.",11459777646810052940.wav,en
1794,"A civilization is a singular culture shared by a significant large group of people who live and work co-operatively, a society.",1146643745158029931.wav,en
1950,To the north and within easy reach is the romantic and fascinating town of Sintra and which was made famous to foreigners after a glowing account of its splendours recorded by Lord Byron.,11483786862560523973.wav,en
1855,"Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.",11497310594035767755.wav,en
1882,"Scientists hope to understand how planets form, especially how the Earth formed, since comets collided with the Earth long ago.",11504385604540375365.wav,en
1890,Most modern research telescopes are enormous facilities in remote areas with favorable atmospheric conditions.,11525263464519603482.wav,en
1849,"If you have watched the movie National Treasure, you may think a treasure map was written on the back of the Declaration of Independence.",1153104690713813269.wav,en
1893,"The Sundarbans are the largest littoral mangrove belt in the world, stretching 80 km (50 mi) into the Bangladeshi and Indian hinterland from the coast.",11536232800365538941.wav,en
1667,"Generally speaking, two behaviors can emerge as managers begin to lead their former peers. One end of the spectrum is trying to remain “one of the guys” (or gals).",11554335886429174193.wav,en
1814,Hydrogen ions are protons that had their electrons stripped off them (since Hydrogen atoms consist of one proton and one electron).,11559094331412401332.wav,en
1893,"The Sundarbans are the largest littoral mangrove belt in the world, stretching 80 km (50 mi) into the Bangladeshi and Indian hinterland from the coast.",11593450817032542587.wav,en
1999,"Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.",11596505942268625598.wav,en
1722,"Cuomo, 53, began his governorship earlier this year and signed a bill last month legalizing same-sex marriage.",11617272550749387741.wav,en
1778,Television reports show white smoke coming from the plant.,11665346626937246597.wav,en
1830,"The ruling party, South West Africa People's Organisation (SWAPO), also retained a majority in the parliamentary elections.",11668734600035674277.wav,en
1841,"Nothing can be seen other than the clear, beautiful sky above and the many surrounding mountains. Very little of this world can be seen or heard from inside the cave.",11670188897888947692.wav,en
1866,"First, most riders wear riding boots with a heel and a smooth, quite narrow, sole.",11705046490861852963.wav,en
1712,"Since 1966 the Sundarbans have been a wildlife sanctuary, and it is estimated that there are now 400 Royal Bengal tigers and about 30,000 spotted deer in the area.",11766033532714442721.wav,en
1831,"The Plitvice Lakes national park is heavily forested, mainly with beech, spruce, and fir trees, and features a mixture of Alpine and Mediterranean vegetation.",11781376959217630586.wav,en
1939,Also after the Revolution occupations were open to all male applicants allowing the most ambitious and successful to succeed.,11820398005906165915.wav,en
1870,The scenes are displayed on the pyramids and the different pyramids are lit up.,11827077161070295147.wav,en
1941,These couples may choose to make an adoption plan for their baby.,11853072634976133891.wav,en
1911,"Similarly, by having a Schengen visa, you do not need to apply for visas to each of the Schengen member countries separately, hence saving time, money and paperwork.",11880309600276730497.wav,en
1698,Everything in the Universe is made of matter. All matter is made of tiny particles called atoms.,11966709226632417907.wav,en
1750,The find also grants insight into the evolution of feathers in birds.,11974497390699501411.wav,en
1803,"The moisture on your hands will react with the outer layers, which will feel funny and form a sort of shell.",11987168412167267165.wav,en
1792,This is called a chemical's pH. You can make an indicator using red cabbage juice.,12018418318980824126.wav,en
1757,"Only mutations in germ-line cells can be passed on to children, while mutations elsewhere can cause cell-death or cancer.",12156117084384995618.wav,en
