ID	audio	tgt_text
0	a_0.wav	Das Globale Positionierungssystem ist ein Dienst, der Geolokalisierungs- und Zeitinformationen überall dort bereitstellt, wo eine ungehinderte Sichtverbindung zu vier oder mehr Globalen Positionierungssystem-Satelliten besteht.
1	a_1.wav	Gruppenrichtliniensuche ist ein Dienst, der es Ihnen ermöglicht, nach Gruppenrichtlinieneinstellungen zu suchen.
2	a_2.wav	Während des Treffens haben wir ausführlich die neuen Protokolle zur Bekämpfung der Geldwäsche besprochen.
3	a_3.wav	Während des Treffens haben wir die neuen Protokolle zur akuten myeloischen Leukämie ausführlich besprochен.
4	a_4.wav	Die Diskussionen des Ausschusses drehten sich hauptsächlich darum, wie die neuen Ziele für die Kosten pro Akquisition erreicht werden können.
5	a_5.wav	Der Hauptsitz von Amazon Web Services befindet sich in Seattle, Washington.
6	a_6.wav	Der Hauptsitz der Amerikanischen Schweißgesellschaft befindet sich in Doral, Florida.
7	a_7.wav	Die Allianz für Zerebralparese empfiehlt, Pharmaunternehmen strengeren Rechenschaftspflichten zu unterwerfen.
8	a_8.wav	Die Kanadische Psychiatrische Vereinigung empfiehlt, die pharmazeutischen Unternehmen strengeren Verantwortlichkeitsstandards zu unterwerfen.
9	a_9.wav	Das Verbraucherschutzgesetz führt strengere Verantwortlichkeitsstandards für pharmazeutische Unternehmen ein.
10	a_10.wav	Man muss jederzeit auf Kicks achten, die gefährliche Zuflüsse von Formationsflüssigkeiten in das Bohrloch sind.
11	a_11.wav	Zu jeder Zeit muss man auf Tritte achten, während man eine starke Verteidigung aufrechterhält und effektive Schläge ausführt.
12	a_12.wav	Laut neueren Forschungen könnte dieses Ölfeld bisher unbekannte extremophile Bakterien beherbergen.
13	a_13.wav	Laut neuerer Forschungen könnte dieses Gewässer bisher unbekannte extremophile Bakterien beherbergen.
14	a_14.wav	Viele Investoren überwachen genau die Kapitalrendite, um die Effizienz und Rentabilität ihrer finanziellen Vermögenswerte zu bewerten.
15	a_15.wav	Um unsere Rendite der Zinsen zu maximieren, müssen wir unsere Investitionsstrategien sorgfältig analysieren und Ressourcen effizient zuweisen.
16	a_16.wav	Der Dienst der Programmierschnittstelle war aufgrund einer technischen Störung nicht ausgefallen.
17	a_17.wav	Das Amerikanische Erdölinstitut war maßgeblich daran beteiligt, Standards für die Öl- und Gasindustrie festzulegen, um sichere und effiziente Operationen zu gewährleisten.
18	a_18.wav	Die Polymerase Kettenreaktion ist eine weit verbreitete Technik in der Biologie, um spezifische DNA-Sequenzen zu amplifizieren, was es Forschern ermöglicht, auch kleine Proben detailliert zu analysieren.
19	a_19.wav	Ein Patientenversorgungsbericht ist ein wesentliches Dokument, das umfassende Details über den medizinischen Zustand eines Patienten und die erhaltene Behandlung bereitstellt.
20	a_20.wav	Den Titel als Wertvollster Spieler zu erhalten, ist eine große Leistung in der Welt des Sports: ein Athlet, der außergewöhnliches Können gezeigt und bedeutende Beiträge zu seinem Team geleistet hat.
21	a_21.wav	Die Einführung eines minimal funktionsfähigen Produkts ermöglicht es Unternehmen, ein neues Produkt mit minimalen Ressourcen zu testen, bevor sie sich vollständig auf dessen Entwicklung festlegen.
22	a_22.wav	Viele Schülerinnen und Schüler der Oberstufe verbringen Monate mit der Vorbereitung auf den Schulischen Einstufungstest, der eine bedeutende Rolle bei den Hochschulzulassungen spielt.
23	a_23.wav	Viele Schülerinnen und Schüler der Oberstufe verbringen Monate damit, sich auf den Standardisierten Leistungstest vorzubereiten, um ihre Chancen zu erhöhen, an einer renommierten Universität aufgenommen zu werden.
24	a_24.wav	Viele Veteranen, die in Kampfzonen gedient haben, kämpfen häufig mit der Posttraumatischen Belastungsstörung, die schwerwiegende emotionale und psychologische Belastungen verursacht.
25	a_25.wav	Nach der Operation erlebte John eine erhebliche Verbesserung seiner Mobilität aufgrund der erfolgreichen Verringerung der Tibia-Neigung im hinteren Bereich, die von seinen Chirurgen erreicht wurde.
26	a_26.wav	Der Zweck eines Nicht-Spieler-Charakters besteht darin, der Geschichte des Spiels durch Interaktion mit dem Spieler Tiefe zu verleihen.
27	a_27.wav	Der Nationale Produktivitätsrat berät den Energieminister in Angelegenheiten, die sich auf Erdöl und Erdgas beziehen.
28	a_28.wav	Das Antiblockiersystem ist ein entscheidendes Sicherheitsmerkmal in modernen Fahrzeugen, das verhindert, dass die Räder beim plötzlichen Bremsen blockieren.
29	a_29.wav	Das Acrylnitril-Butadien-Styrol wurde aufgrund seiner Festigkeit und Haltbarkeit ausgewählt, die für die Herstellung detaillierter 3D-Modelle entscheidend sind.
30	a_30.wav	Das Amerikanisches Büro für Normen spielt eine entscheidende Rolle bei der Regulierung und Festlegung von Richtlinien, die die Sicherheit und Effizienz von Produkten im Regierungssektor gewährleisten.
31	a_31.wav	Der gepanzerte Mannschaftstransportwagen spielt eine entscheidende Rolle beim sicheren Transport von Truppen über Schlachtfelder.
32	a_32.wav	Die Kaufkraftparität ist ein nützliches Konzept, um die relativen Werte verschiedener Währungen zu vergleichen, indem sie für Lebenshaltungskosten und Inflationsraten angepasst werden.
33	a_33.wav	Die Regierung hat kürzlich eine neue Initiative für öffentlich-private Partnerschaften gestartet, um die Infrastruktur zu verbessern, wobei sie auf die Zusammenarbeit zwischen öffentlichen Ressourcen und privaten Investitionen setzt.
34	a_34.wav	Mehrere Studien haben überzeugend gezeigt, dass koronare Herzkrankheit mit einem Mangel an regelmäßiger Bewegung und schlechter Ernährung in Verbindung steht.
35	a_35.wav	In den letzten Jahren hat es eine massive Einführung von computergestützten Designsystemen unter Ingenieuren und Architekten gegeben.
36	a_36.wav	Wir haben es geschafft, die Kosten pro Einheit zu senken, indem wir den Produktionsprozess optimiert und Abfall reduziert haben.
37	a_37.wav	Die Zentraleinheit ist die Hauptkomponente eines Computers, die die meisten Rechenaufgaben übernimmt.
38	a_38.wav	Gewinn je Aktie wird häufig von Privatanlegern verwendet, um Unternehmen auszuwählen, in die sie investieren möchten.
39	a_39.wav	Expandiertes Polystyrol wird häufig in der Herstellung von leichten, haltbaren Verpackungsmaterialien verwendet.
40	a_40.wav	Die Europäische Weltraumorganisation war ausschlaggebend für die Weiterentwicklung der europäischen Fähigkeiten sowohl bei orbitalen als auch bei Missionen im tiefen Weltraum.
41	a_41.wav	Das Gesetz zum Schutz gefährdeter Arten hat eine entscheidende Rolle beim Schutz gefährdeter Arten und der Ökosysteme, von denen sie abhängen, gespielt.
42	a_42.wav	Die Werksabnahmeprüfung ist wesentlich, um einen durchgehend hohen Qualitätsstandard unserer Produkte zu gewährleisten, bevor sie an den Kunden versendet werden.
43	a_43.wav	Die Dateizuordnungstabelle ist eine wesentliche Komponente, die in vielen Computersystemen verwendet wird, um die Speicherung von Dateien auf einer Festplatte zu verwalten.
44	a_44.wav	Das Bruttoinlandsprodukt wird häufig als Indikator verwendet, um die gesamtwirtschaftliche Gesundheit eines Landes zu messen.
45	a_45.wav	In verschiedenen Branchen ist die Einhaltung der guten Dokumentationspraxis wesentlich, um sicherzustellen, dass alle Prozesse genau aufgezeichnet und mit den regulatorischen Standards konform sind.
46	a_46.wav	Die Internationale Komponenten für Unicode spielen eine entscheidende Rolle dabei, sicherzustellen, dass Software problemlos mehrere Sprachen unterstützt.
47	a_47.wav	Laut den kürzlich eingeführten Standards werden Intensivstationen vierteljährlich überprüft.
48	a_48.wav	Die Irisch-Republikanische Armee ist seit Jahrzehnten eine bedeutende Kraft in der politischen und historischen Landschaft Irlands.
49	a_49.wav	Beginnen Sie so bald wie möglich damit, Beiträge zu einem individuellen Rentenkonto zu leisten, um sicherzustellen, dass Sie eine finanziell abgesicherte Zukunft haben.
50	a_50.wav	Forscher untersuchen das Potenzial von stickstoffdotiertem Graphenoxid, um die Effizienz von Energiespeichergeräten zu verbessern, aufgrund seiner robusten Struktur und überlegenen Leitfähigkeit.
51	a_51.wav	Die Nichtregierungsorganisation spielte eine entscheidende Rolle bei der Gestaltung der politischen Debatte um die Gesundheitsreform.
52	a_52.wav	Die Positronen-Emissions-Tomographie, die in letzter Zeit häufig zum Einsatz kommt, ist eine ausgefeilte Bildgebungstechnik, die in der Medizin weit verbreitet ist, um Stoffwechselprozesse im Körper zu beobachten.
53	a_53.wav	Polyethylenterephthalat wird neuerdings insbesondere bei der Herstellung von Plastikflaschen und Textilfasern häufig verwendet.
54	a_54.wav	Polyvinylchlorid ist ein häufig verwendetes synthetisches Polymer, das üblicherweise in Rohrleitungen und als Isolierung für elektrische Kabel zu finden ist.
55	a_55.wav	Vorzeitige ventrikuläre Kontraktion ist eine häufige Erkrankung, bei der das Herz einen zusätzlichen Schlag erlebt, der oft als Herzstolpern empfunden wird.
56	a_56.wav	Die Festplatte arbeitet effizient bei 7200 Umdrehungen pro Minute, was einen schnellen Zugriff und das Abrufen von Daten gewährleistet.
57	a_57.wav	Risiko- und Portfoliomanagement ist eine wesentliche Praxis für Investoren, die das Risiko ausbalancieren möchten, während sie die Renditen maximieren.
58	a_58.wav	Die Stereolithografieanlage ist eine wegweisende 3D-Drucktechnologie, die häufig verwendet wird, um komplexe Modelle und Prototypen zu erstellen.
59	a_59.wav	Das Service-Level-Agreement enthält spezifische Kennzahlen, um eine gleichbleibende Qualität und Zuverlässigkeit unserer Dienstleistungen zu gewährleisten.
60	a_60.wav	Trinitrotoluol ist eine beliebte explosive chemische Verbindung, die häufig in militärischen Anwendungen und beim Abbruch verwendet wird.
61	a_61.wav	Turner Network Television ist ein beliebter Kanal, bekannt dafür, eine breite Auswahl an Filmen und Fernsehserien zu übertragen.
62	a_62.wav	Trotz eines Mangels an starken Beweisen wird das Thema unidentifizierter Flugobjekte gelegentlich noch in den Medien erwähnt.
